SHIP_ID,SHIPNAME,LENGTH,SHIPTYPE,WIDTH,FLAG,ship_type,LAT,LON,SPEED,COURSE,HEADING,DESTINATION,DWT,DATETIME,PORT,date,week_nb,port,is_parked,fromLAT,fromLON,fromTIME,DIST,delta_tau,lastLAT,lastLON
24345,VTS 2734463,0,0,0,RU,Unspecified,59.8646,30.47185,0,0,511,NaN,,2016-12-20T11:11:04Z,st_petersburg,2016-12-20,51,St. Petersburg,1,59.8646,30.47185,2016-12-20T10:59:04Z,0,720,59.8646,30.47185
24366,VTS 2734488,0,0,0,RU,Unspecified,54.89622,19.93811,0,0,511,NaN,,2016-12-20T11:11:02Z,kalingrad,2016-12-20,51,Kalingrad,1,54.89622,19.93811,2016-12-20T11:07:04Z,0,238,54.89622,19.93811
24369,VTS 2734492,0,0,0,RU,Unspecified,59.93667,30.22583,0,0,511,NaN,,2016-12-20T11:11:04Z,st_petersburg,2016-12-20,51,St. Petersburg,1,59.93667,30.22583,2016-12-20T11:11:03Z,0,1,59.93667,30.22583
24468,VTS KLAIPEDA,,0,,LT,Unspecified,55.69007,21.13729,0,0,511,NaN,,2016-12-19T05:19:06Z,klaipeda,2016-12-19,51,Klaipeda,1,55.69007,21.13729,2016-12-19T05:17:06Z,0,120,55.69007,21.13729
24473,VTS 2770110,0,0,0,LT,Unspecified,55.72771,21.09569,0,0,511,NaN,,2016-12-20T11:11:06Z,klaipeda,2016-12-20,51,Klaipeda,1,55.72771,21.09569,2016-12-20T10:59:06Z,0,720,55.72771,21.09569
37523,HELGE,89,7,13,NL,Cargo,57.99721,11.76468,126,31,31,STENUNGSUND,5000,2016-12-20T06:17:06Z,gothenborg,2016-12-20,51,gothenborg,0,57.98425,11.75003,2016-12-20T06:13:05Z,1683.571,241,57.99721,11.76468
73528,SAR 111261105,0,3,0,PL,Tug,54.58415,18.51591,0,0,41,NaN,,2016-12-20T09:11:07Z,gdynia,2016-12-20,51,Gdynia,1,54.5842,18.51598,2016-12-20T09:09:14Z,7.174,113,54.58415,18.51591
73551,SAR 111265121,8,3,10,SE,Tug,57.73168,11.60382,1020,336,314,CLASS B,,2016-12-16T09:29:05Z,gothenborg,2016-12-16,51,gothenborg,0,57.67288,11.62489,2016-12-16T09:27:06Z,6668.103,119,57.73168,11.60382
115307,MELUSINE,162,7,25,BE,Cargo,57.61205,11.61595,165,264,267,HIRTSHALS,9729,2016-12-18T16:17:05Z,gothenborg,2016-12-18,51,gothenborg,0,57.613,11.63287,2016-12-18T16:15:05Z,1016.832,120,57.61205,11.61595
117309,VICTORINE,162,7,25,BE,Cargo,57.60384,11.64728,159,230,230,ZEEBRUGGE,9755,2016-12-20T00:43:05Z,gothenborg,2016-12-20,51,gothenborg,0,57.61028,11.66063,2016-12-20T00:41:04Z,1072.988,121,57.60384,11.64728
118748,WAASMUNSTER,174,8,30,BE,Tanker,57.99287,11.75553,104,25,26,STENUNGSUND,37500,2016-12-18T08:15:04Z,gothenborg,2016-12-18,51,gothenborg,0,57.99287,11.75553,2016-12-18T08:13:05Z,0,119,57.99287,11.75553
121733,BF CARTAGENA,101,7,18,CY,Cargo,59.92067,30.00617,100,293,293,SZCZECIN,5218,2016-12-15T17:53:05Z,st_petersburg,2016-12-15,50,St. Petersburg,0,59.92067,30.00617,2016-12-15T17:53:04Z,0,1,59.92067,30.00617
121902,X-PRESS ETNA,134,7,22,MT,Cargo,59.87014,30.21037,0,201,119,ST.PETERSBURG,11257,2016-12-20T11:11:04Z,st_petersburg,2016-12-20,51,St. Petersburg,1,59.87014,30.21037,2016-12-20T11:11:03Z,0,1,59.87014,30.21037
122006,IDUNA,125,7,21,CY,Cargo,54.54374,18.50502,0,158,120,HAMBURG,8820,2016-12-20T10:59:07Z,gdynia,2016-12-20,51,Gdynia,1,54.54375,18.50503,2016-12-20T10:57:06Z,1.288,121,54.54374,18.50502
122250,WILSON SKY,89,7,15,CY,Cargo,55.73336,20.80246,106,264,263,LUBECK,4263,2016-12-15T17:17:06Z,klaipeda,2016-12-15,50,Klaipeda,0,55.73404,20.81538,2016-12-15T17:15:07Z,815.172,119,55.73336,20.80246
122557,HUGIN EXPLORER,85,3,19,CY,Tug,57.92036,11.60456,130,253,254,LAGOS,4047,2016-12-16T16:57:06Z,gothenborg,2016-12-16,51,gothenborg,0,57.92263,11.61873,2016-12-16T16:55:06Z,876.979,120,57.92036,11.60456
122562,THURKUS,87,7,12,CY,Cargo,54.7994,18.70585,109,306,308,GRIMSBY,3284,2016-12-16T14:43:08Z,gdynia,2016-12-16,51,Gdynia,0,54.7994,18.70585,2016-12-16T14:43:01Z,0,7,54.7994,18.70585
122649,SOLONG,140,7,21,PT,Cargo,59.88123,30.19385,9,103,93,SPB,9500,2016-12-14T02:29:04Z,st_petersburg,2016-12-14,50,St. Petersburg,0,59.88123,30.19385,2016-12-14T02:29:03Z,0,1,59.88123,30.19385
123061,VLADIMIR,183,7,25,CY,Cargo,59.92091,30.00471,113,291,292,RU LED PBG,22708,2016-12-18T19:23:04Z,st_petersburg,2016-12-18,51,St. Petersburg,0,59.92091,30.00471,2016-12-18T19:23:03Z,0,1,59.92091,30.00471
123147,ARETHOUSA,289,7,44,CY,Cargo,54.39222,18.71154,0,281,240,NORFOLK,169770,2016-12-20T11:11:02Z,gdansk,2016-12-20,51,Gdańsk,1,54.39222,18.71154,2016-12-20T11:09:02Z,0,120,54.39222,18.71154
123222,WMS GRONINGEN,129,7,20,CY,Cargo,59.92107,30.00407,112,292,293,ROTTERDAM,8173,2016-12-19T20:43:04Z,st_petersburg,2016-12-19,51,St. Petersburg,0,59.92107,30.00407,2016-12-19T20:41:04Z,0,120,59.92107,30.00407
123296,DUKE 2,34,3,11,CY,Tug,54.96886,20.3695,15,250,112,PIONERSKIY,600,2016-12-20T11:11:02Z,kalingrad,2016-12-20,51,Kalingrad,0,54.97086,20.3679,2016-12-20T11:07:04Z,245.093,238,54.96886,20.3695
123303,HEINRICH SCHEPERS,151,7,23,CY,Cargo,59.9216,30.00101,96,292,293,BREMERHAVEN VIA NOK,10600,2016-12-15T18:07:05Z,st_petersburg,2016-12-15,50,St. Petersburg,0,59.9216,30.00101,2016-12-15T18:07:04Z,0,1,59.9216,30.00101
123774,NORDIC HAMBURG,151,7,23,CY,Cargo,59.92137,30.00229,102,293,292,ST.PETERSBURG,13000,2016-12-17T22:17:04Z,st_petersburg,2016-12-17,51,St. Petersburg,0,59.92137,30.00229,2016-12-17T22:17:03Z,0,1,59.92137,30.00229
124152,VARVARA,225,7,32,BS,Cargo,59.92107,30.00313,92,292,291,SKAW,75228,2016-12-13T11:43:04Z,st_petersburg,2016-12-13,50,St. Petersburg,0,59.92107,30.00313,2016-12-13T11:43:03Z,0,1,59.92107,30.00313
124278,ASTRORUNNER,141,7,20,CY,Cargo,57.69008,11.84583,0,338,5,GOTHENBURG,9544,2016-12-20T11:11:05Z,gothenborg,2016-12-20,51,gothenborg,1,57.69008,11.8458,2016-12-20T10:59:07Z,1.789,718,57.69008,11.84583
124420,LEENI,90,8,15,CY,Tanker,55.72252,21.10342,0,288,128,KLAIPEDA,4580,2016-12-20T11:11:06Z,klaipeda,2016-12-20,51,Klaipeda,1,55.72252,21.10338,2016-12-20T10:59:06Z,2.514,720,55.72252,21.10342
124457,EMSRUNNER,107,7,16,CY,Cargo,55.65423,21.1579,0,272,101,KLAIPEDA,5499,2016-12-20T11:11:06Z,klaipeda,2016-12-20,51,Klaipeda,1,55.65424,21.15789,2016-12-20T10:59:06Z,1.279,720,55.65423,21.1579
124538,BEATA,107,7,18,PT,Cargo,55.13744,19.81967,117,21,21,PARNU,6918,2016-12-16T19:13:02Z,kalingrad,2016-12-16,51,Kalingrad,0,55.13744,19.81967,2016-12-16T19:11:02Z,0,120,55.13744,19.81967
124748,KAPRIFOL,89,8,12,CY,Tanker,55.73123,20.80226,105,267,266,HUSOY,2802,2016-12-17T11:17:06Z,klaipeda,2016-12-17,51,Klaipeda,0,55.73123,20.80226,2016-12-17T11:15:07Z,0,119,55.73123,20.80226
124752,TOLLUND,91,7,13,PL,Cargo,54.79914,18.85798,97,284,282,KIEL CANAL,4170,2016-12-17T19:47:01Z,gdansk,2016-12-17,51,Gdańsk,0,54.79779,18.86851,2016-12-17T19:45:01Z,693.705,120,54.79914,18.85798
124887,PETER THE GREAT,60,3,17,CY,Tug,54.9572,20.21475,0,56,153,PRIONERSKIY,2000,2016-12-20T11:11:02Z,kalingrad,2016-12-20,51,Kalingrad,1,54.95721,20.21476,2016-12-20T11:07:04Z,1.284,238,54.9572,20.21475
125326,BLUEBILL,199,7,23,CY,Cargo,59.87977,30.18783,0,359,316,ST PETERBURG,37332,2016-12-20T11:11:04Z,st_petersburg,2016-12-20,51,St. Petersburg,1,59.87972,30.18789,2016-12-20T11:11:03Z,6.505,1,59.87977,30.18783
125380,PIRITA,132,7,18,CY,Cargo,59.87859,30.22619,0,1,216,ST.PETERSBURG,7946,2016-12-14T02:29:04Z,st_petersburg,2016-12-14,50,St. Petersburg,1,59.87859,30.22619,2016-12-14T02:29:03Z,0,1,59.87859,30.22619
125418,MERITUS,77,3,13,RU,Tug,54.95606,20.21148,0,0,150,BALTIYSK,2530,2016-12-18T15:25:02Z,kalingrad,2016-12-18,51,Kalingrad,1,54.95606,20.21148,2016-12-18T15:23:02Z,0,120,54.95606,20.21148
125721,MERITA,99,7,16,PT,Cargo,55.1754,19.84796,121,20,16,LIEPAJA,4496,2016-12-20T02:49:03Z,kalingrad,2016-12-20,51,Kalingrad,0,55.1754,19.84796,2016-12-20T02:47:10Z,0,113,55.1754,19.84796
